N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"70,400",900,+1.29%,100,"4,202,727","5,969,783",51.80,"10,055,330",12.19,13.92,
2,LG에너지솔루션,"363,500","4,000",+1.11%,500,"850,590","234,000",2.91,"613,563",91.72,10.68,
3,SK하이닉스,"116,500","4,000",+3.56%,"5,000","848,123","728,002",50.31,"3,702,083",8.83,16.84,
4,삼성바이오로직스,"826,000","15,000",+1.85%,"2,500","546,523","66,165",10.52,"53,968",140.52,8.21,
5,NAVER,"330,500","3,000",+0.92%,100,"542,182","164,049",54.62,"583,221",3.29,106.72,
6,삼성전자우,"63,400",400,+0.63%,100,"521,710","822,887",74.08,"924,103",10.97,N/A,
7,카카오,"104,000","1,000",+0.97%,100,"463,968","446,123",28.48,"1,747,104",40.94,2.70,
8,현대차,"168,000","5,000",+3.07%,"5,000","358,963","213,668",26.30,"859,366",9.41,6.84,
9,삼성SDI,"498,000","11,000",+2.26%,"5,000","342,447","68,765",43.34,"299,279",29.96,8.45,
10,LG화학,"442,000","3,000",+0.68%,"5,000","312,018","70,592",48.38,"417,351",9.43,18.47,
11,기아,"72,100","2,900",+4.19%,"5,000","292,267","405,363",34.64,"1,648,497",6.14,14.69,
12,카카오뱅크,"52,600",100,+0.19%,"5,000","249,934","475,159",16.35,"1,521,722",170.23,5.08,
13,셀트리온,"181,000","1,000",+0.56%,"1,000","249,700","137,956",20.17,"338,904",44.24,15.81,
14,POSCO,"283,000","1,000",+0.35%,"5,000","246,739","87,187",53.10,"221,891",3.73,13.97,
15,KB금융,"56,900",200,+0.35%,"5,000","234,629","412,352",72.25,"1,234,684",5.44,8.53,
16,삼성물산,"115,000","1,500",+1.32%,100,"214,920","186,887",15.92,"295,473",13.26,5.40,
17,LG전자,"125,000","2,000",+1.63%,"5,000","204,560","163,648",28.38,"774,502",18.03,13.23,
18,현대모비스,"208,000","3,500",+1.71%,"5,000","196,712","94,573",34.27,"191,687",8.38,6.87,
19,신한지주,"37,900",0,0.00%,"5,000","195,791","516,600",62.04,"1,038,649",5.03,8.20,
20,카카오페이,"141,500","3,500",+2.54%,500,"187,019","132,169",42.52,"147,998",-703.98,-17.97,
21,SK이노베이션,"199,000","7,500",+3.92%,"5,000","184,006","92,466",23.20,"328,402",61.23,1.91,
22,SK,"234,500","1,000",+0.43%,200,"173,880","74,149",21.54,"111,860",8.48,10.19,
23,한국전력,"24,650",150,+0.61%,"5,000","158,244","641,964",14.89,"1,813,807",-14.53,2.91,
24,HMM,"32,000",200,+0.63%,"5,000","156,493","489,039",11.95,"5,684,663",4.03,8.93,
